Student #	GPA	Choice Ranking
400277000	5.1	[9, 11, 29, 18, 16, 9, 19, 15, 12, 13]
400277001	5.4	[11, 30, 25, 13, 9, 30, 20, 21, 17, 7]
400277002	6.1	[10, 9, 15, 17, 29, 5, 17, 11, 26, 10]
400277003	5.8	[2, 4, 23, 20, 23, 1, 8, 13, 26, 4]
400277004	6.3	[6, 19, 30, 0, 6, 26, 21, 0, 13, 29]
400277005	9.8	[13, 22, 13, 2, 25, 26, 30, 7, 0, 29]
400277006	8.1	[22, 29, 18, 0, 11, 17, 15, 20, 22, 28]
400277007	8.0	[25, 3, 19, 4, 6, 25, 23, 6, 23, 1]
400277008	6.8	[9, 11, 5, 18, 4, 13, 24, 27, 0, 21]
400277009	7.5	[11, 11, 8, 6, 20, 12, 0, 26, 30, 5]
400277010	7.8	[29, 19, 10, 5, 22, 2, 26, 1, 30, 10]
400277011	3.6	[16, 8, 20, 18, 30, 18, 19, 13, 24, 21]
400277012	9.2	[7, 1, 11, 21, 13, 12, 11, 10, 25, 2]
400277013	8.9	[23, 9, 2, 17, 12, 17, 28, 10, 15, 7]
400277014	5.0	[8, 7, 4, 14, 15, 5, 21, 14, 25, 4]
400277015	6.3	[12, 24, 9, 18, 12, 3, 3, 7, 27, 10]
400277016	8.6	[14, 21, 30, 23, 1, 4, 4, 2, 3, 20]
400277017	7.3	[10, 1, 28, 5, 27, 29, 4, 8, 24, 29]
400277018	9.2	[20, 6, 9, 7, 10, 13, 14, 21, 30, 21]
400277019	11.1	[21, 14, 30, 23, 14, 13, 21, 1, 27, 1]
400277020	6.7	[15, 13, 8, 5, 4, 25, 9, 17, 11, 30]
400277021	7.8	[13, 27, 0, 9, 14, 20, 23, 12, 9, 22]
400277022	5.8	[24, 29, 8, 10, 26, 7, 20, 2, 25, 4]
400277023	10.0	[3, 10, 24, 28, 23, 10, 3, 1, 29, 21]
400277024	3.6	[7, 3, 12, 5, 17, 18, 25, 4, 12, 4]
400277025	5.3	[6, 11, 2, 17, 12, 3, 26, 25, 21, 17]
400277026	12.0	[3, 19, 13, 11, 2, 5, 30, 7, 24, 28]
400277027	5.5	[20, 5, 11, 6, 5, 17, 28, 12, 21, 11]
400277028	7.8	[17, 1, 6, 27, 11, 9, 27, 12, 8, 30]
400277029	9.6	[12, 25, 4, 1, 17, 30, 24, 30, 24, 19]
400277030	6.9	[5, 30, 11, 16, 21, 22, 26, 1, 20, 9]
400277031	7.3	[9, 14, 30, 10, 27, 18, 0, 7, 23, 13]
400277032	3.7	[24, 1, 6, 22, 12, 4, 15, 22, 26, 29]
400277033	3.6	[20, 12, 2, 27, 3, 19, 18, 23, 6, 16]
400277034	7.6	[7, 8, 8, 7, 21, 30, 19, 24, 9, 24]
400277035	6.4	[5, 29, 13, 0, 6, 5, 9, 29, 10, 17]
400277036	10.1	[17, 13, 23, 9, 8, 19, 6, 1, 25, 8]
400277037	8.2	[21, 30, 30, 15, 6, 28, 7, 23, 12, 26]
400277038	6.5	[15, 16, 14, 5, 21, 22, 3, 9, 4, 27]
400277039	5.9	[9, 30, 17, 17, 24, 8, 13, 16, 1, 22]
400277040	6.9	[17, 0, 11, 12, 4, 14, 30, 8, 13, 5]
400277041	5.5	[24, 3, 20, 12, 5, 28, 15, 24, 12, 30]
400277042	8.0	[3, 15, 24, 0, 0, 9, 8, 4, 0, 3]
400277043	7.4	[6, 9, 10, 13, 0, 24, 27, 27, 15, 18]
400277044	7.6	[21, 18, 3, 0, 25, 18, 27, 15, 0, 19]
400277045	5.4	[3, 10, 10, 21, 9, 8, 13, 12, 9, 26]
400277046	9.2	[20, 8, 11, 26, 8, 27, 29, 9, 9, 25]
400277047	5.0	[29, 24, 21, 4, 7, 30, 26, 20, 12, 24]
400277048	7.9	[2, 11, 30, 12, 26, 19, 20, 27, 22, 8]
400277049	3.9	[20, 12, 17, 2, 13, 28, 19, 11, 9, 27]
400277050	8.5	[11, 18, 18, 5, 16, 19, 26, 15, 20, 8]
400277051	6.5	[22, 5, 20, 30, 12, 8, 18, 26, 21, 14]
400277052	8.7	[5, 7, 23, 22, 4, 29, 14, 21, 9, 24]
400277053	4.0	[22, 24, 29, 25, 28, 20, 23, 24, 3, 2]
400277054	9.1	[30, 16, 28, 15, 10, 7, 11, 4, 13, 0]
400277055	4.6	[11, 5, 17, 11, 19, 26, 16, 19, 18, 27]
400277056	9.3	[13, 22, 19, 2, 26, 10, 14, 22, 9, 0]
400277057	0.6	[30, 7, 11, 23, 8, 9, 30, 21, 19, 4]
400277058	9.1	[0, 4, 29, 23, 0, 14, 1, 27, 24, 30]
400277059	7.4	[6, 21, 19, 18, 29, 0, 23, 12, 2, 9]
400277060	5.4	[15, 18, 1, 18, 14, 16, 6, 15, 30, 16]
400277061	7.3	[15, 14, 1, 17, 23, 12, 2, 5, 13, 26]
400277062	6.1	[30, 10, 23, 26, 29, 18, 16, 23, 8, 10]
400277063	6.6	[18, 28, 1, 14, 12, 20, 21, 24, 8, 18]
400277064	7.6	[29, 27, 30, 10, 4, 28, 6, 28, 20, 27]
400277065	6.2	[23, 27, 30, 6, 0, 19, 25, 22, 16, 17]
400277066	9.3	[28, 28, 4, 18, 7, 16, 2, 3, 11, 20]
400277067	8.9	[8, 22, 3, 19, 22, 2, 19, 30, 1, 18]
400277068	9.4	[6, 25, 24, 4, 19, 11, 20, 27, 3, 22]
400277069	5.9	[1, 21, 2, 6, 28, 27, 14, 7, 15, 19]
400277070	3.1	[24, 18, 1, 9, 29, 12, 3, 29, 30, 29]
400277071	7.9	[1, 6, 11, 27, 25, 24, 17, 30, 22, 27]
400277072	4.0	[29, 2, 21, 16, 3, 12, 9, 27, 25, 1]
400277073	8.3	[26, 27, 4, 11, 19, 18, 13, 20, 1, 7]
400277074	4.5	[13, 7, 5, 5, 12, 26, 29, 1, 15, 11]
